Algorithm,Language,GPT,avg_cpu_mean,avg_cpu_sd,avg_cpu_cv,avg_cpu_range,avg_mem_mean,avg_mem_sd,avg_mem_cv,avg_mem_range,run_time.s._mean,run_time.s._sd,run_time.s._cv,run_time.s._range,total_energy.J._mean,total_energy.J._sd,total_energy.J._cv,total_energy.J._range,average_power.W._mean,average_power.W._sd,average_power.W._cv,average_power.W._range
fasta,py,False,48.586,1.2471239464989174,0.025668380737227135,4.411000000000001,4.0412,0.03778742721028274,0.00935054617694812,0.13099999999999978,15.123133857666666,0.16974049309199038,0.011223896759066277,0.6633191099999998,61.42095196666667,0.6681847492461993,0.010878775529380024,2.3839949999999988,4.062161269633333,0.03298374243083107,0.008119752083060039,0.14659644500000013
fasta,py,True,31.454766666666668,1.8540077499249052,0.05894202839182525,5.823,3.6953666666666667,0.011612963426284862,0.003142574059304407,0.03399999999999981,9.041417233133334,0.6613504819833321,0.07314677167642875,1.9451646809999996,34.73156686666667,2.2514491330419686,0.06482428914552595,6.838387999999998,3.8455509812333335,0.045498717342684895,0.011831521039435728,0.18277796299999993
knucleotide,c,False,11.14,8.503005553818948,0.7632859563571767,31.5,3.6194,0.004303967696327954,0.0011891384473470615,0.016999999999999904,2.4197710594,0.16135851718849786,0.06668338170327068,0.5009112359999999,8.6651149,0.4751803090205357,0.05483831599515612,1.6476260000000016,3.586934659,0.05807304553028305,0.016190159858243198,0.23064578700000027
knucleotide,c,True,8.113333333333333,1.2664730644543951,0.1560977482893667,5.6,3.6191333333333335,0.0036458132183353168,0.0010073718988897848,0.01399999999999979,2.3798241536666667,0.16700840401804368,0.07017678333952902,0.526907682,8.544475,0.5282360040838593,0.06182193804579676,1.7722580000000008,3.5949643907333333,0.05506640662100665,0.015317650089372291,0.21522995700000003
knucleotide,cpp,False,15.976666666666667,5.977756662213984,0.37415543473068963,28.4,3.6176,0.005562187612305341,0.0015375352754050588,0.02499999999999991,2.3350802581333334,0.15757531308177622,0.06748175465615137,0.4465801709999999,8.452788566666667,0.46571736674353265,0.05509629905805002,1.4157390000000003,3.6252313726,0.060512640709697404,0.016692076860820613,0.24980431600000008
knucleotide,cpp,True,11.06,4.769486345509332,0.4312374634276068,27.200000000000003,3.6195,0.0035012313105042543,9.673245781197001e-4,0.01200000000000001,2.3799777985,0.16145623847583057,0.06783938849244293,0.44395804399999994,8.5310154,0.44496285122728757,0.052158252020889286,1.2270409999999998,3.5904161261666667,0.06988317457294428,0.01946380924028312,0.23032145900000023
knucleotide,js,False,32.585,2.0177296049324074,0.06192203789880028,11.799999999999997,3.676,0.01427802748861054,0.0038841206443445426,0.06499999999999995,2.5171657404,0.3468887161729636,0.137809247363203,1.4832072259999998,9.652507633333334,1.185800762182756,0.12284898466050312,5.134729999999999,3.8420747600666667,0.07611043137922667,0.019809721604143387,0.25754308599999964
knucleotide,js,True,32.88,0.5307119486254214,0.016140874349921574,2.3000000000000007,3.6808666666666667,0.006366579406033771,0.0017296414085542636,0.03799999999999981,2.4987747113666665,0.16798293357700766,0.06722612199205905,0.4456849100000002,9.201770233333333,0.5146036375579841,0.0559244172054891,1.654983999999999,3.6833551420333333,0.060328817370990516,0.016378767467338764,0.20342889700000022
knucleotide,py,False,28.43,6.0526796573486985,0.2128976312820506,20.049999999999997,3.6622666666666666,0.017965356188745778,0.004905529232009077,0.06000000000000005,3.6221122027,0.6575167487839367,0.1815285424603384,2.0544040210000003,13.365686866666667,2.199744965387324,0.1645815128942886,8.014129000000002,3.7079735796333333,0.11598253133575569,0.031279222692634376,0.35216670799999994
knucleotide,py,True,33.10666666666667,0.9265930674485308,0.02798811117947636,5.100000000000001,3.6748,0.026189495130154984,0.007126781084727056,0.1499999999999999,2.4325366179,0.1842468512437362,0.07574268353781076,0.5429365639999997,8.985693333333334,0.5260091278564459,0.05853851320578259,1.6518060000000006,3.6967615129999998,0.07612605709954949,0.020592634074945125,0.2798666749999996
