__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,run_time(s),total_energy(J),monsoon_run_time(s),average_power(W)
run_1371,DONE,spectralnorm,c,True,22,7.1,3.643,0,2.200097084,8.074411999999999,2.203176737,3.664895177
run_1372,DONE,spectralnorm,c,True,23,8.2,3.646,0,2.318600893,8.379845,2.312999725,3.622933665
run_1373,DONE,spectralnorm,c,True,24,8.0,3.644,0,2.30648613,8.519711,2.312392235,3.684371152
run_1374,DONE,spectralnorm,c,True,25,7.0,3.646,0,2.31772995,8.504505,2.32601738,3.656251741
run_1375,DONE,spectralnorm,c,True,26,7.0,3.654,0,2.301010847,8.375430999999999,2.299365044,3.642497222
run_1376,DONE,spectralnorm,c,True,27,7.2,3.648,0,2.304296017,8.256592999999999,2.302165031,3.586446944
run_1377,DONE,spectralnorm,c,True,28,36.9,3.653,0,2.200128794,8.004333,2.203250408,3.632965425
run_1378,DONE,spectralnorm,c,True,29,7.1,3.644,0,2.422305107,8.624112,2.429354191,3.549960826
run_1379,DONE,spectralnorm,c,True,30,9.4,3.64,0,2.318566084,8.549578,2.32949543,3.670141538
run_1380,DONE,nbody,c,False,1,42.613,3.623,0,45.7152519,180.56286,45.7237628,3.94899382
run_1381,DONE,nbody,c,False,2,32.777,3.512,0,45.8240697,172.42056,45.8155577,3.76336272
run_1382,DONE,nbody,c,False,3,32.084,3.502,0,45.850697,171.32727,45.855511,3.73624171
run_1383,DONE,nbody,c,False,4,31.874,3.499,0,45.894618,171.63911000000002,45.8761597,3.74135737
run_1384,DONE,nbody,c,False,5,32.577,3.501,0,45.8755538,172.83419,45.8753161,3.76747692
run_1385,DONE,nbody,c,False,6,32.952,3.505,0,45.641782,171.48989,45.634748,3.75787967
run_1386,DONE,nbody,c,False,7,32.245,3.5,0,45.6441979,171.05947,45.6478107,3.74737517
run_1387,DONE,nbody,c,False,8,32.38,3.501,0,44.6491559,167.47155999999998,44.6373456,3.75182625
run_1388,DONE,nbody,c,False,9,32.039,3.498,0,46.0843341,172.90426,46.0657711,3.75342152
run_1389,DONE,nbody,c,False,10,32.353,3.503,0,45.0179088,169.27777,45.0168869,3.76031711
run_1390,DONE,nbody,c,False,11,32.235,3.502,0,46.2309062,173.01566,46.2289326,3.74258396
run_1391,DONE,nbody,c,False,12,31.968,3.501,0,46.0955751,173.68727,46.0973763,3.76783407
run_1392,DONE,nbody,c,False,13,32.42,3.5,0,44.6200042,163.79349000000002,44.6285636,3.67014922
run_1393,DONE,nbody,c,False,14,32.168,3.503,0,45.8269219,163.7951,45.834336,3.57363308
run_1394,DONE,nbody,c,False,15,32.429,3.505,0,45.7328761,163.66026,45.7430913,3.57781369
run_1395,DONE,nbody,c,False,16,32.2,3.501,0,45.7790909,163.65808,45.77826,3.57501748
run_1396,DONE,nbody,c,False,17,32.026,3.5,0,45.6809771,163.14806000000002,45.6780343,3.57169624
run_1397,DONE,nbody,c,False,18,32.297,3.506,0,44.511766,158.71462,44.5082333,3.5659609
run_1398,DONE,nbody,c,False,19,32.13,3.495,0,44.593791,159.77969,44.599546,3.58254084
run_1399,DONE,nbody,c,False,20,32.355,3.502,0,45.5156853,162.53143,45.4953909,3.57248112
run_1400,DONE,nbody,c,False,21,32.333,3.502,0,44.1723638,157.39275999999998,44.1840854,3.56220467
run_1401,DONE,nbody,c,False,22,32.277,3.504,0,45.485646,162.9075,45.4743574,3.58240356
run_1402,DONE,nbody,c,False,23,32.2,3.504,0,45.5067179,161.75218999999998,45.4938908,3.5554705
run_1403,DONE,nbody,c,False,24,32.213,3.503,0,45.716552,163.60201999999998,45.7250924,3.57794838
run_1404,DONE,nbody,c,False,25,32.281,3.502,0,45.7031028,161.6517,45.7059002,3.53677972
run_1405,DONE,nbody,c,False,26,32.126,3.502,0,45.477813,161.85378,45.4831905,3.5585407
run_1406,DONE,nbody,c,False,27,32.158,3.501,0,45.61217,162.76008,45.626461,3.5672299
run_1407,DONE,nbody,c,False,28,32.203,3.502,0,45.6657841,162.92687999999998,45.6692934,3.56753666
run_1408,DONE,nbody,c,False,29,32.51,3.505,0,45.6108971,162.40699999999998,45.5997975,3.56157286
run_1409,DONE,nbody,c,False,30,32.119,3.505,0,45.6304803,162.63496999999998,45.6471474,3.5628726
run_1410,DONE,nbody,c,True,1,8.2,3.505,0,2.83119798,9.80245,2.82916212,3.46478976
run_1411,DONE,nbody,c,True,2,7.2,3.508,0,2.63418818,9.14191,2.62206888,3.48652526
run_1412,DONE,nbody,c,True,3,31.4,3.505,0,2.33525395,8.2037,2.34230065,3.50241145
run_1413,DONE,nbody,c,True,4,7.2,3.51,0,2.6339829,9.166360000000001,2.63408399,3.47990368
run_1414,DONE,nbody,c,True,5,8.2,3.504,0,2.71760917,9.61103,2.72394753,3.52834791
run_1415,DONE,nbody,c,True,6,10.6,3.504,0,2.16792178,7.8321499999999995,2.15885663,3.62791725
run_1416,DONE,nbody,c,True,7,7.2,3.506,0,2.6808269,9.28445,2.67150021,3.47536767
run_1417,DONE,nbody,c,True,8,35.6,3.505,0,2.22811389,8.17512,2.21599483,3.68914174
run_1418,DONE,nbody,c,True,9,8.4,3.505,0,2.16555858,7.8174,2.16298223,3.61417503
run_1419,DONE,nbody,c,True,10,8.3,3.509,0,2.59191394,9.168859999999999,2.59774137,3.52955096
run_1420,DONE,nbody,c,True,11,8.2,3.508,0,2.32300019,8.32809,2.33232307,3.57072951
run_1421,DONE,nbody,c,True,12,8.3,3.511,0,2.73199487,9.67578,2.75015879,3.51826116
run_1422,DONE,nbody,c,True,13,9.3,3.507,0,2.63299799,9.192870000000001,2.62619376,3.50045338
run_1423,DONE,nbody,c,True,14,7.1,3.506,0,2.60779405,9.501759999999999,2.61992455,3.6267323
run_1424,DONE,nbody,c,True,15,10.6,3.507,0,2.51203394,9.02095,2.5265348,3.57048344
run_1425,DONE,nbody,c,True,16,7.2,3.506,0,2.38219595,8.55883,2.39725685,3.57025783
run_1426,DONE,nbody,c,True,17,8.3,3.502,0,2.71277905,9.58238,2.6973958,3.55245756
run_1427,DONE,nbody,c,True,18,7.1,3.515,0,2.33918381,8.29205,2.3410759,3.54198088
run_1428,DONE,nbody,c,True,19,7.0,3.508,0,2.62835193,9.43946,2.640692,3.57461493
run_1429,DONE,nbody,c,True,20,7.1,3.508,0,2.62880516,9.255690000000001,2.62230301,3.52960255
run_1430,DONE,nbody,c,True,21,6.0,3.507,0,2.63193607,9.48428,2.64215016,3.58960786
run_1431,DONE,nbody,c,True,22,8.3,3.509,0,2.64130306,9.2674,2.62086606,3.53600508
run_1432,DONE,nbody,c,True,23,7.1,3.506,0,2.26107192,8.20098,2.26003528,3.62869648
run_1433,DONE,nbody,c,True,24,11.5,3.506,0,2.69717288,9.32314,2.67618513,3.483742
run_1434,DONE,nbody,c,True,25,7.2,3.507,0,2.30958223,8.49708,2.31566453,3.66939165
run_1435,DONE,nbody,c,True,26,6.0,3.512,0,2.23364782,8.3627,2.24438,3.72606459
run_1436,DONE,nbody,c,True,27,8.1,3.51,0,2.58487582,8.97398,2.57236481,3.48860915
run_1437,DONE,nbody,c,True,28,8.2,3.507,0,2.56952071,9.02023,2.57148266,3.50779434
run_1438,DONE,nbody,c,True,29,37.1,3.507,0,2.22363114,8.38817,2.2346158,3.75373943
run_1439,DONE,nbody,c,True,30,10.5,3.508,0,2.57878613,8.9871,2.5690608,3.49820297
run_1440,DONE,binarytrees,java,False,1,82.822,10.482,0,51.21326876,223.862707,51.21666741,4.370895615
run_1441,DONE,binarytrees,java,False,2,84.789,11.149,0,44.93036604,194.348554,44.93675089,4.324935603
run_1442,DONE,binarytrees,java,False,3,81.918,11.056,0,44.88621092,193.507687,44.88033056,4.311636847
run_1443,DONE,binarytrees,java,False,4,82.411,11.189,0,44.62702203,193.845825,44.61945891,4.34442348
run_1444,DONE,binarytrees,java,False,5,81.129,10.639,0,44.58621812,193.404402,44.57834649,4.338527935
run_1445,DONE,binarytrees,java,False,6,81.446,11.153,0,45.25931168,196.489724,45.25592756,4.341745597
run_1446,DONE,binarytrees,java,False,7,82.125,11.219,0,44.12727928,192.843376,44.13903189,4.368998764
run_1447,DONE,binarytrees,java,False,8,81.045,11.079,0,44.83413792,195.76710599999998,44.8338654,4.366500731
run_1448,DONE,binarytrees,java,False,9,80.968,11.15,0,44.94355893,196.689222,44.9379735,4.37690458
run_1449,DONE,binarytrees,java,False,10,81.55,11.074,0,44.70920515,195.074507,44.70326543,4.363764138
run_1450,DONE,binarytrees,java,False,11,80.436,11.125,0,44.69413805,195.737972,44.71486807,4.377469525
run_1451,DONE,binarytrees,java,False,12,80.904,11.22,0,44.42628217,194.443468,44.4460969,4.374815365
run_1452,DONE,binarytrees,java,False,13,81.371,11.205,0,45.14976883,197.648591,45.12975454,4.379562719
run_1453,DONE,binarytrees,java,False,14,80.964,11.163,0,44.81747603,196.358846,44.7938416,4.383612551
run_1454,DONE,binarytrees,java,False,15,85.636,11.147,0,44.87519526,196.471192,44.87256742,4.378425474
run_1455,DONE,binarytrees,java,False,16,85.496,11.094,0,44.72772026,196.635388,44.70981026,4.398036743
run_1456,DONE,binarytrees,java,False,17,80.943,11.191,0,44.20207191,193.96060300000002,44.2095902,4.387297021
run_1457,DONE,binarytrees,java,False,18,80.211,10.884,0,44.81823015,196.65827099999998,44.81958318,4.387775555
run_1458,DONE,binarytrees,java,False,19,78.814,10.778,0,45.11379504,197.428357,45.1074264,4.376848184
run_1459,DONE,binarytrees,java,False,20,81.062,11.08,0,44.59549093,196.158748,44.59588838,4.39858371
run_1460,DONE,binarytrees,java,False,21,82.121,11.052,0,44.68563199,195.286353,44.68799615,4.36999575
run_1461,DONE,binarytrees,java,False,22,81.541,10.977,0,44.90010715,196.40826,44.87743759,4.376547997
run_1462,DONE,binarytrees,java,False,23,82.822,11.006,0,41.84016085,182.04012799999998,41.8505013,4.349771748
run_1463,DONE,binarytrees,java,False,24,80.038,10.836,0,45.02200007,196.613554,45.04622173,4.364706877
run_1464,DONE,binarytrees,java,False,25,82.003,10.768,0,44.96906805,197.43337,44.98049998,4.389310269
run_1465,DONE,binarytrees,java,False,26,80.724,11.134,0,44.61534786,196.82155300000002,44.60837245,4.412211035
run_1466,DONE,binarytrees,java,False,27,81.497,11.19,0,44.82966805,197.601639,44.83112168,4.407688945
run_1467,DONE,binarytrees,java,False,28,81.569,11.275,0,44.98338103,198.238077,44.96832085,4.408394022
run_1468,DONE,binarytrees,java,False,29,80.452,10.736,0,45.18441415,197.732933,45.18229532,4.376336607
run_1469,DONE,binarytrees,java,False,30,82.766,10.752,0,45.45021582,198.038396,45.44866848,4.357408095
run_1470,DONE,binarytrees,java,True,1,39.177,7.448,0,77.49184513,307.644775,77.48579907,3.970337511
run_1471,DONE,binarytrees,java,True,2,40.502,7.471,0,74.80961418,297.40690600000005,74.80918646,3.975539899
run_1472,DONE,binarytrees,java,True,3,41.063,7.582,0,76.01348972,301.235026,75.99927187,3.963656734
run_1473,DONE,binarytrees,java,True,4,41.749,7.538,0,74.7234652,297.910208,74.7359457,3.986170316
run_1474,DONE,binarytrees,java,True,5,40.43,7.526,0,73.99489522,294.055915,73.97097731,3.975287686
run_1475,DONE,binarytrees,java,True,6,41.073,7.529,0,75.15980005,299.236038,75.17522001,3.980514292
run_1476,DONE,binarytrees,java,True,7,42.002,7.52,0,75.03961897,297.672005,75.05518556,3.96604183
run_1477,DONE,binarytrees,java,True,8,41.351,7.504,0,74.81524301,298.322123,74.81395698,3.987519636
run_1478,DONE,binarytrees,java,True,9,40.304,7.452,0,75.19713211,297.930882,75.193537,3.962187356
run_1479,DONE,binarytrees,java,True,10,38.602,7.378,0,78.97353387,312.033298,78.98148966,3.950714267
